carrier,rtrip_fare,advance,busclass,nonrefundable,satstayover
AA,385,7,0,1,0
AA,428,15,0,1,0
AA,237,21,0,1,0
AA,438,7,0,1,0
UA,332,6,0,1,0
AA,271,82,0,1,0
AA,205,26,0,1,1
UA,396,2,0,1,0
AA,296,11,0,1,1
UA,658,2,0,1,0
UA,448,7,0,1,0
UA,356,2,0,1,0
AA,158,14,0,1,0
AA,638,1,0,1,0
AA,240,148,0,1,1
AA,168,28,0,1,1
UA,324,1,0,1,0
UA,168,28,0,1,1
AA,208,18,0,1,1
AA,658,1,0,1,0
UA,289,16,0,1,0
UA,311,3,0,1,0
AA,438,7,0,1,0
UA,433,1,0,1,0
UA,438,8,0,1,0
AA,335,4,0,1,1
AA,168,8,0,1,1
AA,308,26,0,1,0
UA,254,17,0,1,1
AA,395,7,0,1,0
AA,648,6,0,1,0
AA,267,70,0,1,1
AA,198,16,0,1,0
AA,380,8,0,1,0
AA,237,15,0,1,0
AA,168,49,0,1,1
AA,256,15,0,1,1
UA,354,3,0,1,0
AA,448,12,0,1,0
UA,390,7,0,1,0
AA,305,37,0,1,1
AA,293,5,0,1,0
AA,450,9,0,1,0
AA,218,13,0,1,0
UA,390,12,0,1,0
AA,218,15,0,1,0
UA,313,17,0,1,0
AA,237,17,0,1,0
UA,257,15,0,1,0
UA,256,19,0,1,0
UA,439,2,0,1,0
UA,390,9,0,1,0
AA,294,1,0,1,0
AA,168,25,0,1,0
AA,332,10,0,1,0
UA,428,15,0,1,0
UA,207,16,0,1,0
AA,638,2,0,1,0
AA,458,7,0,1,0
UA,357,2,0,1,0
UA,178,17,0,1,0
AA,438,12,0,1,0
UA,257,14,0,1,0
AA,395,10,0,1,0
AA,621,1,1,1,0
AA,438,11,0,1,0
UA,293,12,0,1,0
AA,266,7,0,1,0
AA,237,14,0,1,0
UA,347,32,0,1,0
AA,250,43,0,1,1
AA,395,7,0,1,0
UA,247,29,0,1,0
AA,458,11,0,1,0
AA,446,5,0,1,0
AA,331,14,0,1,1
AA,237,14,0,1,0
AA,648,1,0,1,1
AA,238,86,0,1,0
AA,250,18,0,1,0
UA,632,5,0,1,0
UA,658,2,0,1,0
UA,168,37,0,1,1
UA,256,15,0,1,1
AA,198,29,0,1,1
AA,203,30,0,1,1
UA,354,10,0,1,0
UA,438,7,0,1,1
AA,385,13,0,1,0
AA,443,9,0,1,0
AA,208,18,0,1,1
AA,264,23,0,1,1
AA,246,16,0,1,1
AA,451,1,0,1,0
UA,207,54,0,1,0
UA,168,16,0,1,0
AA,428,2,0,1,0
UA,300,18,0,1,1
AA,178,57,0,1,1
UA,458,6,0,1,0
AA,237,72,0,1,1
UA,247,19,0,1,0
UA,658,1,0,1,0
AA,428,34,0,1,0
UA,237,19,0,1,1
UA,347,16,0,1,0
AA,303,8,0,1,0
AA,206,24,0,1,0
AA,385,7,0,1,0
AA,207,14,0,1,1
AA,458,11,0,1,0
AA,262,23,0,1,1
UA,390,10,0,1,0
UA,168,20,0,1,0
UA,237,15,0,1,1
AA,439,3,0,1,0
AA,208,35,0,1,0
AA,414,39,0,1,0
